question,A1,A2,A3,A4,correct,explanation
מה היתה סיבת המוות השכיחה ביותר במלחמות ישראל?,איבוד דם,פגיעת ראש,פגיעת חזה,סיבוך משברים,A1,"למרות שאין בתשובה זו נתונים סטטיסטים מדויקים, ידוע שדימום היא סיבה עיקרית לתמותה בשדה קרב: 30-50% מכלל ההרוגים! כ- 20% מההרוגים במלחמת יום הכיפורים היו נפגעי ראש (התופעה היתה שכיחה בהרבה בהרוגי וייטנם אך מתאר הלחימה בשטח מיוער כלל יותר ירי ופחות הפגזות). גם פגיעות חזה נפוצות מאוד בשדה הקרב. במלחמת לבנון השנייה היו 23% פצועי חזה ובעופרת יצוקה היו 13% פצועי חזה (בסך הכל 21 פצועים).אמנם מדובר בפגיעה שיכולה להיות קטלנית אך 90% מהמקרים מסתיימים בניקוז חזה - טרוקר בלבד. בעופרת יצוקה היו 13 פצועים עם שבר בפמור או בטיביה. לחמישה מהם היתה אינדיקציה ברורה להנחת סד תומס אך לא היה שימוש בסד מחוסר תרגול או מחמת הפינוי המהיר."
"פצוע הגיע עם חוסם עורקים על שוק רגל שמאל. הוא נראה מבוהל, מזיע זיעה קרה, נשימתו מהירה ושטחית והדופק שלו מהיר אך לחץ הדם שלו בסביבות 130/80 . ממה הוא סובל?",הדימום נעצר בזמן וכעת הפצוע סובל מחרדה,הפצוע נמצא בשלב הראשון של ההלם,"הפצוע נמצא בהלם מתקדם, כנראה על רקע פגיעה פנימית שלא אותרה","לפצוע יש פציעה ברגל שטופלה בזמן ובלי קשר לכך, הוא סובל בדרך כלל מלחץ דם מעט גבוה",A2,"איבוד דם מוביל לחמצון לקוי של הרקמות ולכן ליצירת חומצות כמו חומצה לקטית. מצב של חומציות יתר נקרא חמצת ויכול לשבש תהליכים חשובים בגוף. אחת התופעות היא הרחבת כלי דם נימיים עד למצב בו חלה נפילה בלחץ דם. מצב זה מחמיר עוד יותר את מצב ההלם ומוביל למעגל קסמים שלילי. בנוסף, דם שעומד בכלי הדם נקרש, מה שמכונה קרישה תוך כלית מפושטת - Disseminated Intravascular Coagulation = DIC. הגוף מצידו, עושה כל מאמץ למנוע מצב זה. לכן, בשלבים הראשונים של ההלם, מופרש אדרנלין שדווקא מעלה את לחץ הדם. לחץ הדם הגבוה נשמר עד לאובדן של כ 30% מנפח הדם הכללי. מנגנון פיצוי נוסף הוא העלאת קצב הלב המאפשר הזרמת דם מהירה יותר לגוף. כאמור, מנגנוני פיצוי אילו נכשלים ככל שהמצב מתדרדר. הערה: הנחת חוסם עורקים לא פותר את הבעיה שכן החמצת ממשיכה לדרדר את המצב. לכן, גם אם מצבו של הפצוע טוב, יש לוודא שמאזן הנוזלים שלו תקין ושהוא לא מתדרדר."
כל כמה זמן יש להחליף מעסים בהחייאה?,כל שלושים שניות,כל דקה,כל שתי דקות,כל 5 דקות,A3,מחליפים כל 2 דקות (5 סבבים) כדי למנוע עייפות ולשמור על איכות לחיצות.
כל כמה זמן מבצעים הערכה חוזרת בהחייאה (לפני חיבור דפיברילטור)?,כל סבב,כל 10 דקות,כל 5 סבבים או 2 דקות,מתי שהדפיברילטור אומר,A3,הערכה חוזרת (בדיקת דופק/נשימה) כל 5 סבבים = כל 2 דקות בערך.
מה משותף בהחייאת תינוקות להחייאת מבוגרים,קצב העיסוי בזמן החייאה,קצב ההנשמה כשיש דופק,כמות האויר שנחדיר לריאות,אופן סילוק ההפרשות,A1,"העיסוי יהיה לפחות 100 עיסויים בדקה, כלומר דומה לזה של מבוגר. אם התינוק עם דופק ננשים כל 3 שניות (ולא כל חמש). נחדיר אויר רק עד שהחזה מתרומם (בערך כמות האויר שיש בחלל הפה) כדי למנוע טראומה לריאות. נסלק הפרשות כשראש התינוק נמוך מגופו. נקבע את הראש בעדינות לאחור ונכניס AW ישר ולא בסיבוב (אפשר לתפוס את קצה הלשון עם האגודל של המטפל)."
מה הסכנה המיידית בהיפוגליקמיה?,התייבשות,אבדן הכרה,CVA,פרכוסים,A2,
כיצד נטפל בחולה MI?,ABC סיוע נשימתי פינוי מהיר,ABC פינוי דחוף עם גלוקוג'ל,ABC נטן חמצן הרגעה,ABC ריפוד ראש וחמצן,A3,
"נפגע לאחר פגיעה בעמוד השדרה שוכב בהכרה. הדופק איטי, יש חולשה בגפיים, והעור מתחת לאזור הפגיעה חם ואדום. — איזה סוג הלם מתאים?",הלם נוירוגני,הלם היפוולמי,הלם אנאפילקטי,הלם ספטי,A1,"פגיעה בחוט השדרה, דופק איטי ועור חם ואדום מתחת לפגיעה מתאימים להלם נוירוגני."
מהו הסדר הנכון בשלבי ההחייאה?,בדיקת הכרה ← התחלת עיסויים ← כל 2 דק' להחליף,בטיחות ← חיבור דפיברילטור ← קריאה לעזרה ← עיסויים,בטיחות ← בדיקת הכרה ← קריאה לעזרה ← בדיקת דופק+נשימה ← החייאה,תמיד נתחיל ישר בהחייאה,A3,הסדר: בטיחות ← הכרה ← קריאה לעזרה ← דופק+נשימה ← החייאה ← AED.
מהו הטיפול המומלץ לכוויות דרגה ג?,נסיר כל בגד מיידית גם אם צריך לתלוש אותו מהגוף,נסיר טבעות ושרשראות,נשטוף במי קרח,נמרח משחת סילברול נקודתית על שלפוחיות,A2,"בכוויות דרגה ב´ (שלפוחיות) ניתן למרוח, בהוראת רופא, משחת סילברול. כמו כן ,ניתן לקרר עם רטיות קרות. אסור לפוצץ שלפוחיות בשל חשש לזיהום. בכוויות דרגה ג´ (חריכה עמוקה) יש להסיר מידית כל בגד אך אסור לתלוש כיוון שזה יכול להחמיר את הנזק לעור. במקום זאת, ניתן לגזור את הבד סביב אזור ההדבקות ולהפריד בעדינות, ככל שניתן, על ידי שטיפת המקום עם נוזלים. חשוב עוד יותר להסיר טבעות ושרשראות שעלולות לגרום ללחץ בגלל הבצקת המתפתחת. ניתן לשטוף ולכסות את הכוויה בחבישה סטרילית רטובה או בתחבושת מטלין."
בפגיעת מעיכה מתקיים לחץ ישיר על רקמות. כתוצאה מכך?,חלה ירידה באספקת דם לרקמות,מצטברים חומרי פסולת רעילים ברקמה,נוצר נזק נוירולוגי בלתי הפיך,א + ב נכונים,A4,מנגנוני פגיעה של מעיכה: א - לחץ ישיר על רקמות רכות שגורם לנזק מתמשך שלהן ב - ירידה באספקת הדם לרקמות בגלל הלחץ על כלי הדם ג - הצטברות חומרי פסולת ורעלים ברקמה בשל חוסר הפינוי שלהם הערה: ניתן לדמות את פגיעת המעיכה לסוג של חוסם עורקים.
בת 19 עם 130 נשימות מהירות לד 100/70 לאחר בשורת מוות. למה תחשוד?,התקף אסטמה - נטן הרגעה חמצן,היפרוונטילציה - הרגעה ואמפתיה,טראומה נפשית - פינוי דחוף,סתם מסכנה,A2,
תהליך השאיפה הוא אקטיבי/פסיבי?,אקטיבי,פסיבי,,,A1,
הגעת למקום תאונת דרכים. מה עליך לעשות בצעדים ראשונים?,"לדווח למשטרה / מגן דוד, ואז לצאת למתן עזרה",לבדוק את חומרת הפציעות ואז להתקשר למשטרה / מגן דוד,לעצור שטפי דם ולהנשים ואז להתקשר למשטרה / מגן דוד,לסייע להפניית התנועה באזור עד להגעת כוח רפואי,A1,"לפני הכל, קודם מתקשרים ל 101 ומוסרים פרטים (כמו מספר הטלפון של המודיע, מיקום האירוע, הנפגע וכל פרט שעשוי לעזור). אם לא ברור לך מה לעשות, השאר עם המוקדן על הקו לקבלת הנחיות עד להגעת גורמים מוסמכים ממך בהגשת עזרה ראשונה. שימו לב! המלצות מד""א משתנות ומתעדכנות כמעט מידי שנה. כיום ישנן הנחיות שונות למגישי עזרה ראשונה מיומנים ואחרות לעוברי אורח שמגישים סיוע. המצגת אינה מעודכנת לגמרי ברוח זו והיא תואמת יותר את ההנחיות לצוות מיומן. להנחיות עדכניות שאינן לאנשים שעברו הכשרה, מומלץ לבקר באתר של מד""א. להורדת מצגת מפורטת בתחום הצלת חיים"
מהו תהליך הדיפוזיה (פעפוע) בגוף האדם?,מעבר של מים דרך קרום חדיר למחצה,מעבר חומר מריכוז נמוך לגבוה תוך שימוש באנרגיה,מעבר חומר מריכוז גבוה לריכוז נמוך עד השוואת ריכוזים,תהליך פירוק מולקולות חמצן בתאים,A3,דיפוזיה = תנועה מרכוז גבוה לנמוך (ללא אנרגיה). כך O₂ וCO₂ עוברים בריאות.
"אדם איבד הכרה לזמן קצר לאחר שעמד במהירות. לפני כן התלונן על חולשה, סחרחורת ושחור בעיניים. לאחר מכן התאושש ספונטנית. — מהו המצב הסביר ביותר?",עילפון,פרכוס מתמשך,אנאפילקסיס,אוטם,A1,אובדן הכרה קצר עם התאוששות ספונטנית לאחר ירידת לחץ דם מתאים לעילפון.
כמה זמן יש להקדיש לסילוק הפרשות?,עד 30 שניות,לא יותר מ-10 שניות,כמה שצריך,דקה,A2,סאקשן מקסימום 10 שניות – כדי לא להפסיק החייאה לזמן ארוך.
